page,definition,url,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15
Health data governance,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",health-governance,collection,authorization,,,,,,deposit,,,,destruction-retention,,,
Indigenous data governance,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",indigenous-governance,collection,authorization,,,,,,deposit,,,,destruction-retention,,,
Informed consent,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",consent,collection,authorization,collaborations,sharing,re-use,moving,travel,deposit,,,,,,,
Long term storage options,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",long-term,,,collaborations,sharing,,,,deposit,storage,active-management,,destruction-retention,,,
Metadata,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",metadata,collection,authorization,,,,,,deposit,,,,,,,
My data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",my-data,,,,,re-use,,,,,,,,,,
My research repository,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",my-repository,collection,authorization,,,,,,,storage,active-management,,,,,
Policies,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",policies,collection,authorization,collaborations,sharing,re-use,moving,travel,deposit,storage,active-management,policies,destruction-retention,,,
Information Security,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",security,,,,,,,,,,,,,,,
Information Privacy,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",privacy,,,,,,,,,,,,,,,
Short term storage options,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",short-term,,,,,,,,,storage,active-management,,,,,
Someone else's data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",someone-else,collection,authorization,,,re-use,,,,,,,,,,
To UBC,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",to-ubc,,,collaborations,sharing,,moving,,,,,,,,,
Tri-Agency resources,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",tri-agency,,,,,,,,,,,policies,,,,
Waivers of consent,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",waivers,,,,,re-use,moving,,,,,,,,,
Appropriate re-use of data (Scholarly Integrity),"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",re-use,,,,,,,,,,,,,,,
Sharing Data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",sharing,,,,,,,,,,,,,,,
Data Deposit (new page),"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",deposit,,,,,,,,,,,,,,,
